Number,Arrival time,X1,X2,X3,,,,,
730,12:39,13,13,25,,,,,
731,12:39,13,14,27,,,,,
732,12:40,10,14,24,,,,,
733,12:40,9,13,22,,,,,
734,12:41,12,13,25,,,,,
735,12:41,11,13,24,,,,,
736,12:41,7,11,18,,,,,
737,12:43,11,11,22,,,,,
738,12:43,11,12,23,,,,,
739,12:43,7,12,20,,,,,
740,12:43,11,11,22,,,,,
741,12:43,9,11,19,,,,,
742,12:44,10,12,22,,,,,
743,12:44,12,11,23,,,,,
744,12:45,8,12,20,,,,,
745,12:46,12,11,23,,,,,
746,12:46,12,14,26,,,,,
747,12:47,8,11,19,,,,,
748,12:47,9,13,22,,,,,
749,12:47,11,13,24,,,,,
750,12:48,9,11,21,,,,,
751,12:49,11,11,22,,,,,
752,12:49,11,11,22,,,,,
753,12:50,9,13,22,,,,,
754,12:50,13,13,26,,,,,
755,12:50,8,12,20,,,,,
756,12:51,12,12,24,,,,,
757,12:51,7,13,20,,,,,
758,12:51,7,12,19,,,,,
759,12:52,9,12,22,,,,,
760,12:52,12,13,26,,,,,
761,12:52,9,13,23,,,,,
762,12:53,10,13,23,,,,,
763,12:53,9,13,22,,,,,
764,12:53,9,13,23,,,,,
765,12:53,12,11,23,,,,,
766,12:54,8,13,21,,,,,
767,12:55,8,14,22,,,,,
768,12:55,11,10,21,,,,,
769,12:55,12,14,26,,,,,
770,12:55,9,11,20,,,,,
771,12:55,7,14,21,,,,,
772,12:57,8,13,21,,,,,
773,12:58,8,12,20,,,,,
774,12:59,10,13,23,,,,,
775,12:59,13,14,27,,,,,
776,12:59,10,10,21,,,,,
777,12:59,8,14,21,,,,,
778,13:01,10,13,23,,,,,
779,13:01,7,13,20,,,,,
780,13:01,11,11,22,,,,,
781,13:01,9,12,21,,,,,
782,13:01,9,13,23,,,,,
783,13:02,9,11,21,,,,,
784,13:03,11,11,22,,,,,
785,13:03,10,12,21,,,,,
786,13:03,11,13,23,,,,,
787,13:03,12,12,24,,,,,
788,13:04,11,12,23,,,,,
789,13:04,10,11,21,,,,,
790,13:04,11,10,21,,,,,
791,13:05,10,12,23,,,,,
792,13:06,7,11,18,,,,,
793,13:07,13,11,24,,,,,
794,13:07,10,11,21,,,,,
795,13:08,10,13,23,,,,,
796,13:08,7,13,20,,,,,
797,13:08,12,10,23,,,,,
798,13:08,8,10,19,,,,,
799,13:09,9,11,20,,,,,
800,13:09,12,12,24,,,,,
801,13:10,10,13,22,,,,,
802,13:11,12,11,24,,,,,
803,13:11,8,14,22,,,,,
804,13:11,10,11,21,,,,,
805,13:13,12,10,22,,,,,
806,13:16,11,13,24,,,,,
807,13:17,7,12,19,,,,,
808,13:17,10,13,23,,,,,
809,13:17,10,13,23,,,,,
810,13:19,10,12,22,,,,,
811,13:19,12,12,24,,,,,
812,13:19,11,14,25,,,,,
813,13:19,13,10,23,,,,,
814,13:19,13,12,25,,,,,
